value,count
<NULL>,8858
462,63
2380,44
2176,40
488,36
2823,36
1547,36
499,35
2037,33
2039,33
1285,29
2024,29
1051,28
1556,28
400,27
743,27
475,27
2150,27
2084,27
384,26
2087,26
1964,26
1939,26
2023,26
1605,26
490,25
1055,25
142,25
2062,25
469,24
332,24
750,24
1057,24
315,23
1550,23
2918,23
2025,23
1448,23
1984,23
2896,23
1292,23
2080,23
831,22
1199,22
1249,22
2022,22
1676,22
1828,22
2914,22
2908,22
1565,22
1006,22
947,21
1387,21
2119,21
2465,21
2063,21
1785,21
1441,21
540,20
535,20
865,20
1361,20
2622,20
1902,20
1687,20
1581,20
1914,20
1904,20
2919,20
2623,20
1552,20
512,19
696,19
1784,19
1771,19
1585,19
2136,19
1899,19
495,18
465,18
1062,18
1061,18
1217,18
1198,18
2552,18
2915,18
2003,18
2911,18
1678,18
1553,18
1555,18
2117,18
2913,18
459,18
2017,18
1014,18
521,17
391,17
464,17
15,17
185,17
1372,17
1965,17
1813,17
2374,17
1915,17
558,16
546,16
552,16
437,16
455,16
456,16
491,16
942,16
911,16
738,16
1023,16
104,16
189,16
1446,16
364,16
2115,16
2512,16
2382,16
2490,16
2488,16
417,16
2243,16
2373,16
1664,16
500,15
509,15
858,15
1030,15
1251,15
1316,15
1338,15
1450,15
2916,15
2151,15
1542,15
1592,15
1477,15
994,15
1741,15
1689,15
554,14
472,14
861,14
811,14
646,14
1084,14
4,14
1912,14
2019,14
1065,14
1649,14
1922,14
1966,14
2254,14
2305,14
1656,14
982,14
1546,14
2298,14
1007,14
492,13
401,13
955,13
945,13
838,13
1130,13
1293,13
1339,13
327,13
151,13
1545,13
2026,13
1751,13
1903,13
1424,13
1574,13
1940,13
1701,13
1694,13
2089,13
1579,13
2077,13
1746,13
2094,13
1577,13
1618,13
2118,13
1811,13
2889,13
2363,13
2901,13
2863,13
415,13
1807,13
383,12
416,12
414,12
692,12
888,12
28,12
993,12
1229,12
259,12
265,12
239,12
312,12
276,12
27,12
374,12
536,12
1745,12
1937,12
1590,12
2018,12
1695,12
2371,12
1584,12
1673,12
2190,12
1820,12
1610,12
1815,12
1548,12
2088,12
2097,12
1499,12
2245,12
1715,12
2364,12
419,11
532,11
872,11
614,11
640,11
830,11
1083,11
1288,11
232,11
183,11
310,11
66,11
29,11
35,11
2,11
1554,11
1770,11
2894,11
1809,11
1973,11
2904,11
2159,11
1831,11
1467,11
2618,11
2064,11
2006,11
1560,11
1987,11
1875,11
356,11
1582,11
1644,11
2381,11
2822,11
2197,11
1576,11
1295,11
1306,11
2379,11
1716,11
405,11
528,10
392,10
360,10
875,10
864,10
803,10
628,10
918,10
923,10
949,10
1000,10
1004,10
1207,10
1192,10
1195,10
1154,10
1267,10
1284,10
1286,10
1318,10
1389,10
262,10
244,10
41,10
106,10
165,10
76,10
311,10
135,10
59,10
30,10
46,10
217,10
1976,10
1756,10
2306,10
1665,10
2365,10
1588,10
1764,10
1587,10
1473,10
2238,10
1995,10
2560,10
1442,10
1586,10
1483,10
2253,10
1969,10
1522,10
2805,10
2927,10
1740,10
2230,10
2078,10
2302,10
1323,10
2110,10
2814,10
2880,10
1705,10
2426,10
1301,10
557,9
559,9
547,9
581,9
394,9
474,9
483,9
378,9
822,9
705,9
707,9
622,9
629,9
662,9
663,9
770,9
886,9
902,9
921,9
681,9
972,9
1012,9
1209,9
1208,9
1216,9
1126,9
1145,9
1155,9
1269,9
1265,9
1294,9
1392,9
268,9
270,9
251,9
125,9
158,9
274,9
58,9
3,9
155,9
1319,9
113,9
1475,9
2016,9
1891,9
1481,9
1852,9
1505,9
1704,9
1962,9
2338,9
2361,9
2081,9
1911,9
2143,9
2148,9
1503,9
2246,9
2902,9
2491,9
2667,9
1449,9
2113,9
2612,9
1930,9
1528,9
2624,9
2605,9
2492,9
1783,9
2090,9
1824,9
2922,9
2632,9
2417,9
2300,9
1655,9
2556,9
1789,9
1827,9
1719,9
2237,9
1734,9
513,8
461,8
410,8
852,8
801,8
814,8
711,8
603,8
938,8
983,8
1003,8
1187,8
1175,8
1161,8
1242,8
1253,8
1274,8
1373,8
272,8
271,8
291,8
273,8
51,8
53,8
49,8
22,8
26,8
93,8
5,8
1289,8
481,8
1355,8
2132,8
1680,8
1943,8
1575,8
2104,8
2155,8
1977,8
1985,8
1810,8
2386,8
359,8
2587,8
2038,8
1699,8
2079,8
1886,8
550,8
1918,8
2142,8
1928,8
2519,8
1015,8
2187,8
1879,8
1519,8
2066,8
548,8
2921,8
1744,8
1733,8
2551,8
2903,8
2642,8
1843,8
1674,8
454,8
2516,8
1566,8
463,8
2827,8
1612,8
2591,8
1501,8
1653,8
1690,8
2252,8
2784,8
395,8
2343,8
2178,8
1333,8
1366,8
2131,8
1735,8
496,7
382,7
531,7
436,7
389,7
336,7
877,7
868,7
863,7
813,7
821,7
691,7
685,7
824,7
706,7
709,7
712,7
621,7
665,7
950,7
944,7
889,7
894,7
924,7
932,7
913,7
752,7
766,7
769,7
762,7
1053,7
1011,7
995,7
1210,7
1159,7
1114,7
1122,7
1086,7
1248,7
1268,7
1287,7
1310,7
1317,7
261,7
127,7
254,7
253,7
221,7
126,7
164,7
91,7
188,7
187,7
190,7
172,7
163,7
309,7
295,7
149,7
65,7
21,7
1326,7
179,7
969,7
1440,7
2007,7
2403,7
1829,7
1564,7
1825,7
2585,7
1551,7
2009,7
1897,7
1905,7
2032,7
1684,7
2070,7
2359,7
1952,7
2899,7
1563,7
1994,7
2034,7
1970,7
2075,7
2826,7
2554,7
1980,7
1981,7
2220,7
2116,7
2095,7
1469,7
1619,7
2073,7
2402,7
1521,7
2356,7
2546,7
1527,7
520,7
1611,7
2874,7
2002,7
1989,7
2659,7
2646,7
2598,7
2366,7
2303,7
1480,7
1636,7
2484,7
2384,7
2247,7
2376,7
1878,7
1571,7
1711,7
1583,7
1520,7
2191,7
2260,7
1635,7
2241,7
1725,7
1532,7
2333,7
1729,7
2357,7
1730,7
2842,7
2378,7
2193,7
2474,7
1920,7
517,7
1960,7
2547,7
2223,7
561,6
572,6
574,6
514,6
497,6
555,6
560,6
519,6
549,6
537,6
583,6
526,6
411,6
361,6
362,6
368,6
878,6
857,6
884,6
677,6
805,6
819,6
689,6
686,6
690,6
684,6
699,6
812,6
703,6
664,6
758,6
956,6
946,6
899,6
828,6
929,6
729,6
765,6
1005,6
1008,6
976,6
1181,6
1177,6
1104,6
1108,6
1128,6
1356,6
1257,6
1330,6
1320,6
1374,6
1394,6
1390,6
257,6
267,6
234,6
109,6
39,6
117,6
105,6
178,6
101,6
68,6
88,6
186,6
197,6
308,6
319,6
130,6
283,6
32,6
34,6
42,6
43,6
96,6
8,6
6,6
80,6
1077,6
515,6
498,6
505,6
432,6
1234,6
160,6
264,6
1621,6
1639,6
2065,6
2281,6
2083,6
2105,6
1525,6
2353,6
2614,6
1476,6
1975,6
1640,6
1471,6
2021,6
2072,6
1523,6
2239,6
1945,6
2923,6
2925,6
2182,6
1893,6
2060,6
1892,6
2367,6
2521,6
1956,6
2055,6
1578,6
1453,6
1974,6
506,6
1933,6
1961,6
1866,6
1646,6
1923,6
1739,6
1549,6
1768,6
1456,6
1659,6
2674,6
2744,6
1913,6
2205,6
2042,6
1817,6
1677,6
2086,6
1998,6
2057,6
2370,6
2928,6
1383,6
1753,6
2750,6
1834,6
1814,6
1726,6
1692,6
1530,6
1559,6
1712,6
2393,6
542,6
1498,6
1377,6
1376,6
2423,6
1718,6
2242,6
2828,6
2731,6
1313,6
545,6
2283,6
1336,6
1332,6
2625,6
2355,6
1754,6
501,5
585,5
358,5
412,5
422,5
420,5
525,5
527,5
440,5
473,5
363,5
871,5
880,5
866,5
804,5
810,5
818,5
680,5
825,5
704,5
618,5
630,5
669,5
660,5
674,5
795,5
792,5
934,5
935,5
937,5
939,5
827,5
927,5
928,5
907,5
915,5
848,5
965,5
962,5
736,5
740,5
682,5
1026,5
1031,5
1063,5
1064,5
984,5
1009,5
1214,5
1215,5
1160,5
1162,5
1097,5
1100,5
1129,5
1117,5
1131,5
1135,5
1220,5
1358,5
1250,5
1264,5
1233,5
1277,5
1309,5
1340,5
1386,5
1378,5
263,5
235,5
243,5
107,5
108,5
184,5
157,5
180,5
193,5
294,5
297,5
324,5
137,5
145,5
148,5
282,5
57,5
62,5
33,5
23,5
11,5
9,5
1,5
70,5
580,5
1365,5
584,5
1299,5
484,5
493,5
460,5
220,5
227,5
140,5
63,5
176,5
450,5
1054,5
476,5
54,5
1804,5
2056,5
2061,5
2103,5
1873,5
1489,5
2905,5
2518,5
1946,5
