value,count
51_01302,837
51_51255,599
11_00105,588
24_01201,586
24_00400,541
24_01003,520
51_51246,472
24_01004,457
24_00902,454
51_01301,423
24_01400,408
24_01500,397
24_01600,393
11_00104,386
24_00901,381
24_01204,378
24_01107,362
24_00302,359
24_01105,359
24_00804,354
24_00200,340
51_51245,339
11_00103,331
11_00101,318
11_00102,313
24_01203,310
24_00602,310
51_59307,306
51_10703,305
51_10702,300
24_01007,297
51_59301,286
24_01300,282
24_01101,280
24_00803,270
24_00801,270
24_00802,267
24_01202,266
24_01104,255
51_59303,254
51_59305,253
51_59302,253
24_00805,251
51_10701,250
24_01103,249
24_00502,246
24_00507,244
24_00506,243
51_59308,243
51_51115,238
51_59309,236
24_00601,235
24_01005,234
24_00301,234
51_51120,231
24_00503,229
24_01102,218
24_01001,211
24_00504,210
24_01106,202
24_01002,200
24_00700,198
24_00100,185
24_00505,183
51_51087,182
24_00501,165
51_51244,164
51_59306,160
51_59304,147
24_01006,144
54_00400,134
51_51084,63
