value,count
<NULL>,4921
2984,112
1525,109
1492,107
3024,85
3071,79
3051,67
3009,58
1478,58
1500,55
2977,54
1517,53
1490,50
3019,48
3102,48
3068,48
3041,48
3270,46
980,44
3192,43
2628,43
1543,43
3044,42
3050,42
2343,42
3271,41
3016,41
3042,41
3027,40
776,40
3037,38
2986,38
1502,38
1501,38
3060,37
3101,36
3089,36
3243,36
2838,36
148,36
1415,36
1540,36
1458,36
3078,35
3034,35
1475,35
2631,35
3241,34
637,33
639,33
3012,32
1414,32
1527,31
1565,31
3091,30
3072,30
3079,30
3272,30
2995,30
2765,30
624,29
2637,29
3256,29
3161,29
3269,28
157,28
2063,28
2790,28
1473,28
1592,28
3096,27
750,27
684,27
3107,26
2985,26
687,26
564,26
539,26
3631,26
1547,26
623,26
206,26
3099,25
662,25
3038,24
3021,24
3023,24
1499,24
2272,24
3675,24
1579,24
1584,24
2269,24
1493,24
151,23
2933,23
1551,23
2677,23
625,23
49,23
584,23
2911,23
1590,23
680,23
2278,23
3250,22
622,22
1768,22
1638,22
1938,22
277,22
1575,22
428,22
2929,22
2923,22
166,22
1474,22
3100,21
3265,21
719,21
2624,21
1065,21
1570,21
663,21
3668,21
1477,21
2644,21
2630,21
1508,21
386,21
42,21
3088,20
3254,20
2992,20
3475,20
1222,20
502,20
1800,20
288,20
182,20
514,20
1571,20
504,20
2934,20
1596,20
1223,20
153,20
1555,20
3324,20
3090,19
3074,19
3046,19
3035,19
385,19
1665,19
372,19
186,19
2359,19
736,19
3580,19
2279,19
499,19
3082,18
3045,18
3076,18
2982,18
1858,18
1152,18
2930,18
603,18
2926,18
279,18
3674,18
1558,18
154,18
1539,18
156,18
2405,18
717,18
2928,18
3633,18
1694,18
617,18
2973,17
3006,17
2396,17
3191,17
2665,17
565,17
1652,17
3373,17
413,17
1947,17
974,17
1532,17
515,17
1412,17
2541,17
2789,17
3260,16
3253,16
47,16
1647,16
715,16
1112,16
1563,16
3158,16
982,16
1090,16
1088,16
1732,16
1806,16
843,16
973,16
3182,16
1618,16
265,16
1549,16
3657,16
3095,15
2971,15
1750,15
2645,15
51,15
2931,15
1817,15
3595,15
3669,15
751,15
143,15
1810,15
3632,15
2261,15
1920,15
193,15
78,15
2060,15
3548,15
3395,15
342,15
290,15
3084,14
3252,14
2999,14
2969,14
1940,14
512,14
619,14
1480,14
1739,14
2781,14
250,14
522,14
566,14
3307,14
854,14
905,14
1559,14
257,14
3246,14
3656,14
1724,14
147,14
1989,14
1903,14
2994,14
898,14
2047,14
2406,14
2979,13
3013,13
2993,13
146,13
626,13
352,13
503,13
25,13
175,13
540,13
1734,13
1968,13
302,13
295,13
689,13
2044,13
180,13
677,13
2638,13
1911,13
1515,13
2775,13
347,13
1699,13
694,13
178,13
219,13
1567,13
718,13
2734,13
3175,13
2038,13
1908,13
411,13
2904,13
963,13
2916,13
2878,13
1646,13
3441,13
407,13
2413,13
2534,13
3085,12
3245,12
3255,12
2952,12
2987,12
3011,12
346,12
1902,12
1429,12
1595,12
537,12
191,12
618,12
296,12
971,12
185,12
1998,12
2367,12
1767,12
1550,12
1593,12
274,12
790,12
1632,12
420,12
211,12
1578,12
2393,12
415,12
2303,12
2364,12
149,12
688,12
697,12
100,12
2308,12
845,12
2007,12
2670,12
316,12
2059,12
964,12
1528,12
2666,12
2414,12
3075,11
3275,11
3244,11
2967,11
2968,11
2965,11
2983,11
2988,11
2990,11
155,11
371,11
2909,11
409,11
1866,11
1986,11
573,11
2919,11
3438,11
759,11
431,11
2341,11
1967,11
68,11
1847,11
1218,11
3141,11
664,11
3604,11
606,11
2281,11
161,11
2147,11
587,11
475,11
2366,11
2128,11
183,11
245,11
981,11
2145,11
1798,11
3187,11
1951,11
2302,11
1657,11
2837,11
1597,11
797,11
177,11
1582,11
2351,11
2399,11
979,11
317,11
3381,11
2996,10
2975,10
576,10
1974,10
357,10
906,10
2690,10
266,10
965,10
189,10
365,10
1979,10
1663,10
1585,10
2068,10
2415,10
2135,10
188,10
2073,10
74,10
1553,10
838,10
2478,10
1535,10
595,10
1160,10
1637,10
43,10
3380,10
187,10
2125,10
84,10
