value,count
140000006,1
140000013,1
140000017,1
140000019,1
140000024,1
140000025,1
140000034,1
140000043,1
140000053,1
140000054,1
140000061,1
140000063,1
140000071,1
140000082,1
140000123,1
140000124,1
140000130,1
140000132,1
140000151,1
140000152,1
140000153,1
140000160,1
140000166,1
140000169,1
140000170,1
140000173,1
140000181,1
140000183,1
140000186,1
140000188,1
140000198,1
140000204,1
140000215,1
140000243,1
140000271,1
140000280,1
140000284,1
140000291,1
140000299,1
140000309,1
140000316,1
140000324,1
140000326,1
140000335,1
140000336,1
140000340,1
140000349,1
140000353,1
140000354,1
140000355,1
140000365,1
140000367,1
140000369,1
140000374,1
140000376,1
140000382,1
140000390,1
140000393,1
140000407,1
140000411,1
140000415,1
140000416,1
140000435,1
140000450,1
140000456,1
140000471,1
140000475,1
140000476,1
140000481,1
140000512,1
140000523,1
140000535,1
140000537,1
140000549,1
140000551,1
140000566,1
140000572,1
140000581,1
140000594,1
140000598,1
140000599,1
140000608,1
140000612,1
140000622,1
140000634,1
140000646,1
140000658,1
140000671,1
140000681,1
140000683,1
140000692,1
140000693,1
140000713,1
140000727,1
140000733,1
140000742,1
140000754,1
140000757,1
140000762,1
140000764,1
140000766,1
140000767,1
140000782,1
140000784,1
140000791,1
140000800,1
140000812,1
140000818,1
140000819,1
140000829,1
140000832,1
140000833,1
140000843,1
140000851,1
140000856,1
140000881,1
140000882,1
140000886,1
140000888,1
140000903,1
140000949,1
140000954,1
140000958,1
140000961,1
140000962,1
140000966,1
140000973,1
140000977,1
140000987,1
140000990,1
140000995,1
140001033,1
140001039,1
140001044,1
140001049,1
140001072,1
140001074,1
140001083,1
140001111,1
140001112,1
140001124,1
140001125,1
140001126,1
140001135,1
140001143,1
140001148,1
140001152,1
140001154,1
140001182,1
140001184,1
140001185,1
140001186,1
140001187,1
140001190,1
140001192,1
140001202,1
140001226,1
140001229,1
140001230,1
140001243,1
140001251,1
140001262,1
140001267,1
140001274,1
140001306,1
140001319,1
140001325,1
140001331,1
140001333,1
140001395,1
140001426,1
140001436,1
140001437,1
140001444,1
140001448,1
140001456,1
140001490,1
140001503,1
140001540,1
140001543,1
140001560,1
140001572,1
140001573,1
140001585,1
140001624,1
140001629,1
140001633,1
140001645,1
140001646,1
140001691,1
140001737,1
140001739,1
140001755,1
140001778,1
140001781,1
140001783,1
140001796,1
140001800,1
140001801,1
140001813,1
140001814,1
140001816,1
140001818,1
140001821,1
140001827,1
140001829,1
140001832,1
140001853,1
140001859,1
140001861,1
140001865,1
140001869,1
140001871,1
140001893,1
140001904,1
140001925,1
140001929,1
140001931,1
140001933,1
140001934,1
140001940,1
140001941,1
140001942,1
140001943,1
140001944,1
140001945,1
140001946,1
140001952,1
140001953,1
140001965,1
140001968,1
140001972,1
140001976,1
140001985,1
140001988,1
140001992,1
140001993,1
140002013,1
140002026,1
140002030,1
140002031,1
140002035,1
140002039,1
140002040,1
140002053,1
140002058,1
140002062,1
140002084,1
140002097,1
140002122,1
140002135,1
140002136,1
140002138,1
140002139,1
140002140,1
140002148,1
140002156,1
140002157,1
140002165,1
140002169,1
140002170,1
140002195,1
140002204,1
140002208,1
140002214,1
140002215,1
140002223,1
140002247,1
140002267,1
140002271,1
140002285,1
140002292,1
140002295,1
140002302,1
140002303,1
140002314,1
140002321,1
140002330,1
140002339,1
140002347,1
140002350,1
140002359,1
140002363,1
140002364,1
140002376,1
