value,count
2017-11-17,170
2018-02-26,157
2018-01-08,142
2018-06-04,141
2018-01-02,139
2017-12-01,139
2018-07-11,136
2017-10-17,130
2017-11-30,130
2018-01-03,119
2017-11-03,115
2018-09-10,114
2017-10-19,114
2018-01-05,113
2018-01-22,112
2017-11-16,107
2017-10-18,106
2017-10-31,101
2017-11-15,100
2018-01-25,100
2018-02-12,99
2017-12-12,98
2017-10-16,97
2017-11-02,97
2018-05-14,96
2018-05-17,96
2017-11-14,96
2018-05-15,95
2018-10-30,95
2017-11-13,95
2018-01-24,95
2018-05-22,94
2018-05-18,94
2018-02-08,94
2018-02-23,94
2018-01-04,93
2018-02-28,93
2018-05-23,92
2018-02-13,92
2018-02-27,92
2018-05-21,91
2018-07-02,91
2018-11-01,91
2017-12-04,91
2018-05-24,90
2018-05-30,90
2018-07-31,89
2018-05-16,89
2018-08-31,89
2018-10-25,89
2017-12-13,89
2017-10-20,89
2017-12-14,89
2018-01-23,89
2017-10-23,88
2018-02-09,88
2018-04-26,88
2018-06-06,87
2018-01-26,87
2018-03-23,87
2018-05-25,86
2017-11-20,86
2017-12-11,86
2018-03-05,85
2018-07-20,84
2018-05-31,84
2018-02-14,84
2018-04-05,84
2017-12-15,83
2018-03-01,83
2018-04-04,82
2018-04-03,82
2018-10-31,81
2018-05-02,81
2018-03-06,81
2018-06-15,80
2018-06-12,80
2018-05-10,80
2017-11-01,80
2018-02-22,79
2018-02-20,79
2018-05-11,78
2018-05-07,78
2018-06-08,78
2018-04-23,78
2018-03-07,78
2018-05-08,77
2018-05-29,77
2018-10-17,77
2018-10-24,77
2018-02-05,77
2018-04-30,77
2018-03-08,77
2018-04-02,77
2018-04-06,77
2018-10-02,76
2018-10-23,76
2018-01-10,76
2017-10-24,76
2017-11-09,76
2017-11-22,76
2018-02-16,76
2018-03-02,76
2018-07-05,75
2018-03-19,75
2018-06-01,74
2018-05-09,74
2018-07-27,74
2018-10-29,74
2017-11-28,74
2017-10-30,74
2018-02-15,74
2018-02-21,74
2018-03-13,74
2018-04-24,74
2018-03-09,74
2018-06-11,73
2018-06-19,73
2018-06-13,73
2017-10-25,72
2017-11-27,72
2018-02-07,72
2018-01-11,71
2018-10-03,70
2018-01-09,70
2017-10-26,70
2017-12-07,70
2018-03-14,70
2018-03-20,70
2018-06-05,69
2018-01-12,69
2018-10-22,68
2018-11-02,68
2017-12-20,68
2018-04-27,68
2018-07-06,67
2018-06-18,67
2018-10-19,67
2018-10-26,67
2018-06-27,67
2018-02-06,67
2018-03-27,67
2018-04-09,67
2017-11-21,66
2018-03-22,66
2018-05-01,66
2017-11-08,65
2017-12-06,65
2018-07-30,64
2017-12-08,64
2017-11-07,64
2018-06-26,63
2018-06-25,63
2018-09-14,63
2017-12-05,63
2017-12-21,63
2018-03-30,63
2018-06-07,62
2018-05-03,62
2018-10-18,62
2017-11-29,62
2017-11-06,62
2018-03-29,62
2018-09-20,61
2018-11-07,61
2018-08-27,60
2018-10-15,60
2018-02-02,60
2018-06-14,59
2018-07-26,59
2018-07-18,59
2018-07-03,59
2018-06-20,59
2018-11-05,59
2018-07-16,58
2018-07-23,58
2018-07-09,58
2018-10-01,58
2018-01-31,58
2017-12-18,58
2018-07-19,57
2018-07-25,57
2017-12-19,57
2018-04-11,57
2018-03-26,57
2018-10-04,56
2018-09-18,56
2018-03-28,56
2018-05-04,55
2018-04-25,55
2018-08-01,54
2018-06-22,54
2019-03-06,54
2018-06-29,53
2018-08-02,53
2018-08-10,53
2019-01-08,53
2018-03-12,53
2018-08-03,52
2018-07-24,51
2017-12-22,51
2018-01-30,51
2018-03-16,51
2018-08-07,50
2018-04-20,50
2018-09-27,49
2018-12-03,49
2018-04-12,49
2018-07-10,48
2018-09-28,48
2018-04-13,48
2018-04-10,48
2018-06-21,46
2018-11-30,46
2019-04-19,46
2018-11-06,46
2017-10-13,46
2018-04-19,46
2018-07-12,45
2018-10-12,45
2018-08-21,45
2018-10-09,45
2019-04-26,45
2018-10-16,45
2019-01-07,45
2017-10-27,45
2018-06-28,44
2018-08-09,44
2018-08-08,44
2018-01-19,44
2018-02-01,44
2019-04-25,43
2018-07-13,43
2019-04-09,43
2018-01-29,43
2018-04-16,43
2018-08-16,42
2018-09-25,42
2018-07-17,42
2018-08-30,42
2018-11-08,42
2019-02-15,42
2019-04-10,42
2018-03-15,42
2018-09-07,41
2018-08-13,41
2019-02-19,41
2019-04-08,41
2018-04-17,41
2018-08-06,40
2019-04-05,40
2018-08-24,39
2019-04-24,39
2019-04-03,39
2018-03-21,39
2018-11-09,38
2018-10-10,38
2018-10-05,37
2019-04-18,37
2019-04-23,36
2019-03-04,36
2018-11-28,36
2018-12-12,35
2018-12-17,35
2019-02-13,35
2019-04-29,34
2018-08-29,34
2018-10-11,34
2019-02-14,33
2018-11-29,33
2019-03-07,33
2019-04-15,33
2018-08-28,32
2019-04-22,32
2018-09-04,32
2018-12-04,32
2019-03-14,32
2019-03-12,32
2019-04-16,32
2019-04-04,32
2018-11-13,31
2018-11-15,31
2018-12-18,31
2019-02-27,31
2019-02-22,31
2018-08-20,30
2018-09-17,30
2018-11-14,30
2018-12-14,30
2019-04-12,30
2018-08-22,29
2018-08-17,29
2019-02-28,29
2019-02-11,29
2019-03-11,29
2019-02-18,29
2019-02-21,29
2019-04-02,29
2017-10-12,29
2018-10-08,28
2019-02-06,28
2019-04-11,28
2019-03-22,28
2019-03-05,28
2018-01-18,28
2018-09-13,27
2018-09-24,27
2019-04-17,27
2018-09-21,27
2018-12-28,27
2018-12-11,27
2018-01-17,27
2018-01-16,27
2018-08-23,26
2018-11-19,26
2019-05-01,26
2018-12-21,26
2018-12-26,26
2019-03-08,26
2019-03-01,26
2018-09-19,25
2018-08-14,25
2018-12-10,25
2019-01-15,25
2019-02-07,25
2018-12-06,25
2019-04-01,25
